Sl.No.,Brand,Product_Description,Price,Product_Link,Rating
1,HERE&NOW,Slim Fit Casual shirt,Rs. 699,https://www.myntra.com/shirts/herenow/herenow-men-black-slim-fit-casual-shirt/19818628/buy,4.3
2,HIGHLANDER,Slim Fit Casual shirt,Rs. 524,https://www.myntra.com/shirts/highlander/highlander-men-green--white-slim-fit-printed-casual-shirt/11780968/buy,4.3
3,Roadster,Printed Casual shirt,Rs. 598,https://www.myntra.com/shirts/roadster/roadster-men-blue-printed-casual-sustainable-shirt/1364628/buy,4.1
4,H&M,Men Relaxed Fit hoodie,Rs. 899,https://www.myntra.com/sweatshirts/hm/hm-men-relaxed-fit-hoodie/21211334/buy,4.5
5,Jompers,Men Floral Embroidered kurta,Rs. 1633,https://www.myntra.com/kurtas/jompers/jompers-men-black-floral-embroidered-sequined-cotton-kurta/20038544/buy,4.2
6,HIGHLANDER,Slim Fit Casual shirt,Rs. 769,https://www.myntra.com/shirts/highlander/highlander-men-blue-slim-fit-striped-casual-shirt/14063038/buy,4.3
7,HERE&NOW,Slim Fit Casual shirt,Rs. 797,https://www.myntra.com/shirts/herenow/herenow-men-white-slim-fit-printed-casual-shirt/19140996/buy,4.2
8,H&M,Men Black Regular jeans,Rs. 1799,https://www.myntra.com/jeans/hm/hm-men-black-regular-jeans/15193862/buy,4.3
9,Roadster,Printed Cotton Pure Cotton tshirt,Rs. 599,https://www.myntra.com/tshirts/roadster/roadster-men-white-printed-cotton-pure-cotton-t-shirt/2475811/buy,4.1
10,Roadster,Cotton Solid Casual shirt,Rs. 402,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-maroon-pure-cotton-solid-sustainable-casual-shirt/16892144/buy,4.4
11,U.S. Polo Assn.,Men Pure Cotton Striped shirt,Rs. 1559,https://www.myntra.com/shirts/us-polo-assn/u-s-polo-assn-men-yellow-and-white-striped-tailored-fit-pure-cotton-casual-shirt/19243714/buy,4.2
12,WROGN,Men Slim Fit jeans,Rs. 1039,https://www.myntra.com/jeans/wrogn/wrogn-men-grey-slim-fit-light-fade-stretchable-jeans/2338117/buy,4.8
13,Puma,Men Printed Football tshirt,Rs. 3299,https://www.myntra.com/tshirts/puma/puma-men-blue-printed-manchester-city-football-t-shirt/18982090/buy,4.1
14,HIGHLANDER,Men Slim Fit shirt,Rs. 699,https://www.myntra.com/shirts/highlander/highlander-men-white--blue-slim-fit-checked-casual-shirt/8469259/buy,4.2
15,FUBAR,Slim Fit Casual shirt,Rs. 699,https://www.myntra.com/shirts/fubar/fubar-slim-fit-spread-collar-casual-shirt/22988248/buy,2.2
16,Roadster,Cotton Casual shirt,Rs. 649,https://www.myntra.com/shirts/roadster/roadster-men-maroon--black-checked-pure-cotton-sustainable-casual-shirt/11326686/buy,4.4
17,WROGN,Checked Casual shirt,Rs. 1079,https://www.myntra.com/shirts/wrogn/wrogn-navy-blue-slim-fit-checked-casual-shirt/1729391/buy,4.2
18,HRX by Hrithik Roshan,Printed Pure Cotton tshirt,Rs. 419,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-teal-blue-printed-pure-cotton-t-shirt/1700871/buy,4
19,Huetrap,Typography Print tshirt,Rs. 340,https://www.myntra.com/tshirts/huetrap/huetrap-men-beige--black-typography-printed-sustainable-t-shirt/11148764/buy,4.1
20,HERE&NOW,Men Regular Fit Sustainable Casual shirt,Rs. 999,https://www.myntra.com/shirts/herenow/herenow-men-white-regular-fit-solid-sustainable-casual-shirt/4425878/buy,4.3
21,RARE RABBIT,Men Round Neck sweatshirt,Rs. 2249,https://www.myntra.com/sweatshirts/rare-rabbit/rare-rabbit-men-pink-round-neck-solid-sweatshirt/19441864/buy,4.9
22,Levis,Men 512 Slim Low-Rise jeans,Rs. 2271,https://www.myntra.com/jeans/levis/levis-men-512-slim-tapered-fit-low-rise-heavy-fade-stretchable-jeans/20516520/buy,4.1
23,Dennis Lingo,Men Slim Fit Casual shirt,Rs. 569,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-pink-slim-fit-casual-shirt/7488102/buy,4.1
24,Roadster,Men Pure Cotton Casual shirt,Rs. 584,https://www.myntra.com/shirts/roadster/roadster-men-black--grey-checked-pure-cotton-casual-shirt/1376577/buy,4.3
25,Roadster,Printed Round Neck Pure Cotton tshirt,Rs. 599,https://www.myntra.com/tshirts/roadster/roadster-men-green--white-printed-round-neck-pure-cotton-t-shirt/11545192/buy,4.2
26,Campus Sutra,Ombre Henley Neck tshirt,Rs. 599,https://www.myntra.com/tshirts/campus-sutra/campus-sutra-green-ombre-henley-neck-casual-t-shirt/22735530/buy,4.5
27,Louis Philippe Sport,Knitted Polo Collar tshirt,Rs. 1049,https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-solid-knitted-polo-collar-t-shirt/21474618/buy,2.6
28,FUBAR,Spread Collar Slim Fit shirt,Rs. 699,https://www.myntra.com/shirts/fubar/fubar-spread-collar-slim-fit-casual-shirt/22988256/buy,3.6
29,HIGHLANDER,Men Tapered Fit jeans,Rs. 714,https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-mid-rise-clean-look-stretchable-jeans/8706059/buy,3.9
30,HERE&NOW,Slim Fit Floral Casual shirt,Rs. 799,https://www.myntra.com/shirts/herenow/herenow-men-black-slim-fit-floral-printed-casual-shirt/18060960/buy,4.3
31,Urbano Fashion,Slim Tropical Printed Pure Cotton tshirt,Rs. 461,https://www.myntra.com/tshirts/urbano-fashion/urbano-fashion-men-teal-green-slim-fit-tropical-printed-pure-cotton-t-shirt/12377258/buy,4
32,Roadster,Men Skinny Fit jeans,Rs. 1499,https://www.myntra.com/jeans/roadster/roadster-men-blue-skinny-fit-mid-rise-mildly-distressed-stretchable-jeans/5669588/buy,3.9
33,Dennis Lingo,Men Slim Fit Casual shirt,Rs. 569,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-black-slim-fit-casual-shirt/6714923/buy,4.2
34,Roadster,Cotton Casual shirt,Rs. 503,https://www.myntra.com/shirts/roadster/roadster-men-teal-blue-cotton-sustainable-casual-shirt/11903988/buy,4
35,Roadster,Time Travlr Sleveless Pure Cotton tshirt,Rs. 149,https://www.myntra.com/tshirts/roadster/roadster-time-travlr-men-olive-green-sleveless-pure-cotton-t-shirt-with-raw-edges/2498517/buy,4
36,United Colors of Benetton,Men Low-Rise Faded jeans,Rs. 2249,https://www.myntra.com/jeans/united-colors-of-benetton/united-colors-of-benetton-men-faded-low-rise-regular-fit-jeans/20258298/buy,4.4
37,H&M,Men Black Slim jeans,Rs. 1799,https://www.myntra.com/jeans/hm/hm-men-black-slim-jeans/16519026/buy,4.2
38,Levis,Men Pure Cotton Casual shirt,Rs. 2024,https://www.myntra.com/shirts/levis/levis-men-slim-fit-checked-pure-cotton-casual-shirt/20516368/buy,4.3
39,Peter England Casuals,Pure Cotton Casual shirt,Rs. 1601,https://www.myntra.com/shirts/peter-england-casuals/peter-england-casuals-slim-fit-striped-pure-cotton-casual-shirt/22733276/buy,4.1
40,HERE&NOW,Colourblocked Cotton Pure Cotton tshirt,Rs. 599,https://www.myntra.com/tshirts/herenow/herenow-men-black--green-colourblocked-cotton-pure-cotton-t-shirt/11748138/buy,4.1
41,HIGHLANDER,Men Tapered Fit jeans,Rs. 714,https://www.myntra.com/jeans/highlander/highlander-men-grey-tapered-fit-mid-rise-clean-look-stretchable-jeans/9162835/buy,4.1
42,Roadster,Men Solid Carrot Fit jeans,Rs. 1169,https://www.myntra.com/jeans/roadster/roadster-men-black-solid-carrot-fit--jeans/14805882/buy,4
43,WROGN,Men Slim Fit jeans,Rs. 1299,https://www.myntra.com/jeans/wrogn/wrogn-men-black-slim-fit-mid-rise-jeans/1320929/buy,3.8
44,Pepe Jeans,Men Slim Fit jeans,Rs. 1299,https://www.myntra.com/jeans/pepe-jeans/pepe-jeans-men-slim-fit-jeans/21444418/buy,4.2
45,Dennis Lingo,Men Slim Fit Casual shirt,Rs. 569,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-olive-green-slim-fit-casual-shirt/7488103/buy,4.5
46,Louis Philippe Sport,Polo Collar tshirt,Rs. 974,https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-polo-collar-t-shirt/21936198/buy,3.8
47,Mast & Harbour,Men Skinny Fit jeans,Rs. 999,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-skinny-fit-jeans/16882964/buy,4
48,Levis,Men 512 Slim Tapered Fit jeans,Rs. 1759,https://www.myntra.com/jeans/levis/levis-men-blue-512-slim-tapered-fit-mid-rise-light-fade-stretchable-jeans/18074942/buy,4.2
49,HIGHLANDER,Slim Fit Casual shirt,Rs. 439,https://www.myntra.com/shirts/highlander/highlander-men-white--red-slim-fit-printed-casual-shirt/14051896/buy,4.2
50,Roadster,Men Skinny Fit jeans,Rs. 773,https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/11274440/buy,3.7
51,HIGHLANDER,Slim Fit Casual shirt,Rs. 439,https://www.myntra.com/shirts/highlander/highlander-men-white--red-slim-fit-printed-casual-shirt/14051896/buy,4.2
52,Roadster,Men Skinny Fit jeans,Rs. 773,https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/11274440/buy,3.7
53,HERE&NOW,Pure Cotton Checked Sustainable shirt,Rs. 1499,https://www.myntra.com/shirts/herenow/herenow-men-green--grey-pure-cotton-checked-sustainable-casual-shirt/14098748/buy,4.2
54,HIGHLANDER,Men Tapered Fit jeans,Rs. 724,https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-heavy-fade-jeans/14798270/buy,3.5
55,Louis Philippe Jeans,Men Slim Fit Low-Rise jeans,Rs. 1649,https://www.myntra.com/jeans/louis-philippe-jeans/louis-philippe-jeans-men-navy-blue-slim-fit-low-rise-stretchable-jeans/20325472/buy,4.2
56,Campus Sutra,Dry Fit Sports tshirt,Rs. 999,https://www.myntra.com/tshirts/campus-sutra/campus-sutra-men-round-neck-dry-fit-sports-t-shirt/22735630/buy,2.4
57,Levis,Men 511 Slim Fit jeans,Rs. 1599,https://www.myntra.com/jeans/levis/levis-men-blue-511-slim-fit-heavy-fade-stretchable-jeans/18074928/buy,4.3
58,Flying Machine,Men Slim Fit Heavy Fade jeans,Rs. 1319,https://www.myntra.com/jeans/flying-machine/flying-machine-men-blue-slim-fit-heavy-fade-jeans/22566018/buy,3.2
59,Roadster,Men Regular Check Casual shirt,Rs. 649,https://www.myntra.com/shirts/roadster/roadster-men-navy-blue--olive-green-checked-sustainable-casual-shirt/10944918/buy,4.4
60,Roadster,Men Time Travlr Skinny Fit jeans,Rs. 1499,https://www.myntra.com/jeans/roadster/roadster-time-travlr-men-black-skinny-fit-mid-rise-clean-look-stretchable-jeans/2425786/buy,4
61,FUBAR,Spread Collar Slim Fit shirt,Rs. 699,https://www.myntra.com/shirts/fubar/fubar-spread-collar-slim-fit-casual-shirt/22988232/buy,4.6
62,Roadster,Henley Neck tshirt,Rs. 274,https://www.myntra.com/tshirts/roadster/roadster-men-brown-melange-henley-neck-t-shirt/1996770/buy,4.2
63,HRX by Hrithik Roshan,Rapid Dry tshirt,Rs. 599,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-advanced-rapid-dry-t-shirt/2314400/buy,4.3
64,Louis Philippe,Solid Polo Cotton tshirt,Rs. 1329,https://www.myntra.com/tshirts/louis-philippe/louis-philippe-men-white-solid-polo-collar-pure-cotton-t-shirt/18218256/buy,4.4
65,WROGN,Men Slim Fit jeans,Rs. 1279,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-light-fade-stretchable-jeans/7229767/buy,3.7
66,Mast & Harbour,Men Casual Sustainable shirt,Rs. 1031,https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-red--blue-checked-casual-sustainable-shirt/2042528/buy,4.3
67,HERE&NOW,Men Slim Fit Casual shirt,Rs. 659,https://www.myntra.com/shirts/herenow/herenow-men-burgundy-slim-fit-casual-shirt/8980005/buy,4.2
68,Louis Philippe Sport,Polo Collar tshirt,Rs. 899,https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-polo-collar-t-shirt/21936204/buy,4.5
69,Levis,Men 511 Slim Fit jeans,Rs. 1599,https://www.myntra.com/jeans/levis/levis-men-blue-511-slim-fit-light-fade-stretchable-jeans/18074926/buy,4.3
70,Anouk,Men Quirky Printed kurta,Rs. 560,https://www.myntra.com/kurtas/anouk/anouk-men-grey-quirky-printed-pure-cotton-kurta/18331840/buy,4.2
71,Being Human,Men Slim Fit jeans,Rs. 1049,https://www.myntra.com/jeans/being-human/being-human-men-slim-fit-stretchable-jeans/22464030/buy,4
72,Roadster,Men Casual shirt,Rs. 599,https://www.myntra.com/shirts/roadster/roadster-men-maroon--black-checked-casual-sustainable-shirt/6696340/buy,4.3
73,Jompers,Men Embellished Cotton kurta,Rs. 1633,https://www.myntra.com/kurtas/jompers/jompers-men-mandarin-collar-embellished-cotton-kurta/21665294/buy,4.1
74,Flying Machine,Men Slim Tapered Fit jeans,Rs. 2799,https://www.myntra.com/jeans/flying-machine/flying-machine-men-slim-tapered-fit-mid-rise-clean-look-jeans/23006658/buy,4.1
75,Louis Philippe Sport,Slim Pure Cotton Casual shirt,Rs. 1259,https://www.myntra.com/shirts/louis-philippe-sport/louis-philippe-sport-men-blue-slim-fit-horizontal-stripes-pure-cotton-casual-shirt/16418504/buy,4.3
76,Roadster,Men Cotton Pure Cotton tshirt,Rs. 249,https://www.myntra.com/tshirts/roadster/roadster-men-black-cotton-pure-cotton-t-shirt/1996777/buy,4.2
77,Levis,Men Slim Fit jeans,Rs. 1594,https://www.myntra.com/jeans/levis/levis-men-blue-slim-fit-light-fade-stretchable-jeans/20428700/buy,4.3
78,FUBAR,Ethnic Motifs Printed kurta,Rs. 499,https://www.myntra.com/kurtas/fubar/fubar-mandarin-collar-ethnic-motifs-printed-short-kurta/22988086/buy,3.6
79,WROGN,Men Slim Fit jeans,Rs. 1799,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-mid-rise-clean-look-stretchable-jeans/6832333/buy,3.5
80,FUBAR,Striped Slim Fit Casual shirt,Rs. 699,https://www.myntra.com/shirts/fubar/fubar-horizontal-striped-band-collar-slim-fit-casual-shirt/22988224/buy,4.8
81,Campus Sutra,Colourblocked Cotton tshirt,Rs. 599,https://www.myntra.com/tshirts/campus-sutra/campus-sutra-charcoal-colourblocked-henley-neck-casual-cotton-t-shirt/22735652/buy,3.5
82,Roadster,Men Cotton Casual shirt,Rs. 623,https://www.myntra.com/shirts/roadster/roadster-men-maroon--navy-blue-checked-pure-cotton-casual-sustainable-shirt/9951411/buy,4.4
83,Roadster,Men Carrot Fit jeans,Rs. 599,https://www.myntra.com/jeans/roadster/roadster-men-blue-carrot-fit-light-fade-stretchable-jeans/13866614/buy,3.9
84,Mast & Harbour,Men Skinny Fit jeans,Rs. 659,https://www.myntra.com/jeans/mast--harbour/mast--harbour-men-navy-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/12983796/buy,3.5
85,Louis Philippe Sport,Men Slim Fit Casual shirt,Rs. 1319,https://www.myntra.com/shirts/louis-philippe-sport/louis-philippe-sport-men-pure-cotton-slim-fit-casual-shirt/21198010/buy,4.4
86,Levis,Men Slim Fit Mid-Rise jeans,Rs. 1594,https://www.myntra.com/jeans/levis/levis-men-slim-fit-light-fade-acid-wash-stretchable-jeans/19849948/buy,4.2
87,HRX by Hrithik Roshan,Slim Rapid Dry Raglan tshirt,Rs. 599,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-charcoal-grey-slim-advanced-rapid-dry-raglan-t-shirt/2314372/buy,4.3
88,The Souled Store,Oversized tshirt,Rs. 1049,https://www.myntra.com/tshirts/the-souled-store/the-souled-store-men-grey-thor-printed-oversized-t-shirt/20017870/buy,4.5
89,Indian Terrain,Men Slim Fit jeans,Rs. 2899,https://www.myntra.com/jeans/indian-terrain/indian-terrain-men-brooklyn-slim-fit-jeans/16131894/buy,4.1
90,HERE&NOW,Men Cotton Sustainable Casual shirt,Rs. 899,https://www.myntra.com/shirts/herenow/herenow-men-red--black-checked-pure-cotton-sustainable-casual-shirt/2414313/buy,4.3
91,WROGN,Men Slim Fit jeans,Rs. 1119,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-mid-rise-jeans/1758520/buy,3.8
92,Roadster,Men Skinny Fit jeans,Rs. 599,https://www.myntra.com/jeans/roadster/roadster-men-navy-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/7243653/buy,3.6
93,Levis,Men 512 Slim Fit jeans,Rs. 1759,https://www.myntra.com/jeans/levis/levis-men-blue-512-slim-fit-mid-rise-light-fade-stretchable-jeans/18074880/buy,4.3
94,HIGHLANDER,Men Tapered Fit jeans,Rs. 699,https://www.myntra.com/jeans/highlander/highlander-men-black-tapered-fit-mid-rise-clean-look-jeans/13815356/buy,3.8
95,Roadster,Men Pack Of 2 shirts,Rs. 1154,https://www.myntra.com/shirts/roadster/roadster-men-pack-of-2-sustainable-shirts/2038071/buy,4.2
96,PEPPYZONE,Checks Cotton Casual shirt,Rs. 749,https://www.myntra.com/shirts/peppyzone/peppyzone-standard-windowpane-checks-cotton-casual-shirt/22525228/buy,3.6
97,WROGN,Slim Fit Casual shirt,Rs. 1209,https://www.myntra.com/shirts/wrogn/wrogn-men-black-slim-fit-casual-shirt/12131944/buy,4.4
98,HERE&NOW,Men Cotton Sustainable Casual shirt,Rs. 849,https://www.myntra.com/shirts/herenow/herenow-men-maroon-pure-cotton-sustainable-casual-shirt/7288105/buy,4.4
99,Roadster,Men Casual shirt,Rs. 1499,https://www.myntra.com/shirts/roadster/roadster-men-grey-sustainable-casual-shirt/6788641/buy,4.2
100,The Indian Garage Co,Checked Casual shirt,Rs. 725,https://www.myntra.com/shirts/the-indian-garage-co/the-indian-garage-co-men-white-checked-casual-shirt/19718260/buy,4.3
101,Levis,Men Pure Cotton Casual shirt,Rs. 1799,https://www.myntra.com/shirts/levis/levis-men-slim-fit-pure-cotton-casual-shirt/20516510/buy,4.4
102,HRX by Hrithik Roshan,Printed Cotton Pure Cotton tshirt,Rs. 599,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-yellow-printed-cotton-pure-cotton-t-shirt/1700944/buy,4.2
103,Campus Sutra,Striped Polo Collar tshirt,Rs. 999,https://www.myntra.com/tshirts/campus-sutra/campus-sutra-mustard-striped-polo-collar-casual-t-shirt/22735606/buy,3.5
104,WROGN,Men Slim Fit jeans,Rs. 1499,https://www.myntra.com/jeans/wrogn/wrogn-men-black-slim-fit-mid-rise-clean-look-jeans/1427622/buy,4
105,Roadster,Colourblocked Pure Cotton,Rs. 599,https://www.myntra.com/tshirts/roadster/roadster-men-green--white-colourblocked-round-neck-pure-cotton-t-shirt/13622286/buy,4.3
106,Louis Philippe Sport,Men Polo Collar Slim Fit tshirt,Rs. 899,https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-men-polo-collar-slim-fit-t-shirt/21474638/buy,4.5
107,Parx,Men Skinny Fit jeans,Rs. 1619,https://www.myntra.com/jeans/parx/parx-men-skinny-fit-light-fade-jeans/22500094/buy,2.2
108,HRX by Hrithik Roshan,Raglan Sleeved tshirt,Rs. 599,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-raglan-sleeved-t-shirt/1987412/buy,4.2
109,Indo Era,Men Printed Cotton kurta,Rs. 967,https://www.myntra.com/kurtas/indo-era/indo-era-men-off-white--beige-ethnic-motifs-printed-pure-cotton-kurta/17502638/buy,4.1
110,Levis,Men Slim Fit jeans,Rs. 1594,https://www.myntra.com/jeans/levis/levis-men-dark-blue-slim-fit-light-fade-stretchable-jeans/20428738/buy,4.2
111,Louis Philippe,Slim Fit Formal shirt,Rs. 1679,https://www.myntra.com/shirts/louis-philippe/louis-philippe-men-white-textured-pure-cotton-slim-fit-formal-shirt/19092338/buy,4.5
112,The Indian Garage Co,Casual shirt,Rs. 577,https://www.myntra.com/shirts/the-indian-garage-co/the-indian-garage-co-men-blue-checked-casual-shirt/16711040/buy,4.2
113,Roadster,Men Carrot Fit jeans,Rs. 816,https://www.myntra.com/jeans/roadster/roadster-men-blue-carrot-fit-stretchable-jeans/14637944/buy,3.9
114,Dennis Lingo,Men Slim Fit Casual shirt,Rs. 621,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-blue-slim-fit-windowpane-checked-casual-shirt/14572050/buy,4.2
115,Louis Philippe Jeans,Men Printed Slim Fit tshirt,Rs. 681,https://www.myntra.com/tshirts/louis-philippe-jeans/louis-philippe-jeans-men-black-graphic-printed-pure-cotton-slim-fit-casual-t-shirt/16878774/buy,4.4
116,WROGN,Men Slim Fit jeans,Rs. 1499,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-heavy-fade-stretchable-jeans/15068920/buy,4
117,The Indian Garage Co,Men Slim Fit jeans,Rs. 659,https://www.myntra.com/jeans/the-indian-garage-co/the-indian-garage-co-men-blue-slim-fit-light-fade-stretchable-jeans/15313800/buy,4
118,Levis,Men 512 Tapered Fit jeans,Rs. 1759,https://www.myntra.com/jeans/levis/levis-men-blue-512-tapered-fit-light-fade-stretchable-jeans/18074862/buy,4.2
119,Flying Machine,Men Slim Fit Low-Rise jeans,Rs. 1319,https://www.myntra.com/jeans/flying-machine/flying-machine-men-slim-fit-low-rise-low-heavy-fade-jeans/22566072/buy,4.9
120,WROGN,Men Slim Fit Casual shirt,Rs. 1319,https://www.myntra.com/shirts/wrogn/wrogn-men-pink-slim-fit-solid-casual-shirt/2478210/buy,4.2
121,Campus Sutra,Polo Collar Casual tshirt,Rs. 999,https://www.myntra.com/tshirts/campus-sutra/campus-sutra-blue-polo-collar-casual-cotton-t-shirt/22735678/buy,5
122,Roadster,Cotton Casual shirt,Rs. 649,https://www.myntra.com/shirts/roadster/roadster-men-olive-green-pure-cotton-sustainable-casual-shirt/11904108/buy,4.3
123,Roadster,Men Slim Fit jeans,Rs. 999,https://www.myntra.com/jeans/roadster/roadster-men-blue-slim-fit-mid-rise-clean-look-stretchable-jeans/8962385/buy,3.8
124,FUBAR,Slim Fit Casual shirt,Rs. 699,https://www.myntra.com/shirts/fubar/fubar-mandarin-collar-slim-fit-casual-shirt/22988228/buy,4
125,HIGHLANDER,Men Tapered Fit jeans,Rs. 649,https://www.myntra.com/jeans/highlander/highlander-men-blue-tapered-fit-mid-rise-clean-look-stretchable-jeans/8988449/buy,3.6
126,KETCH,Men Slim Fit Casual shirt,Rs. 599,https://www.myntra.com/shirts/ketch/ketch-men-navy-blue-slim-fit-tartan-checks-checked-casual-shirt/17015040/buy,3.7
127,Louis Philippe Sport,Men Polo Collar tshirt,Rs. 974,https://www.myntra.com/tshirts/louis-philippe-sport/louis-philippe-sport-polo-collar-t-shirt/21936200/buy,4.3
128,THE BEAR HOUSE,Slim Fit Checked Flannel shirt,Rs. 1247,https://www.myntra.com/shirts/the-bear-house/the-bear-house-men-black--white-slim-fit-checked-flannel-casual-shirt/12853658/buy,4.4
129,Levis,Men Straight Fit jeans,Rs. 2699,https://www.myntra.com/jeans/levis/levis-men-straight-fit-jeans/21927462/buy,4.2
130,H&M,3-Pack Relaxed Fit tshirts,Rs. 1999,https://www.myntra.com/tshirts/hm/hm-3-pack-relaxed-fit-t-shirts/22067372/buy,4
131,Jompers,Printed Straight kurta,Rs. 930,https://www.myntra.com/kurtas/jompers/jompers-men-yellow-printed-straight-kurta/11226756/buy,4.1
132,Roadster,Typography Cotton tshirt,Rs. 251,https://www.myntra.com/tshirts/roadster/roadster-men-maroon-typography-printed-cotton-t-shirt/2308267/buy,4
133,HRX by Hrithik Roshan,Slim Rapid Dry Raglan tshirt,Rs. 449,https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-slim-advanced-rapid-dry-raglan-t-shirt/2314424/buy,4.3
134,Louis Philippe Sport,Slim Pure Cotton Casual shirt,Rs.1319,https://www.myntra.com/shirts/louis-philippe-sport/louis-philippe-sport-men-blue-slim-fit-solid-pure-cotton-casual-shirt/16418446/buy,4.2
135,PEPPYZONE,Checks Cotton Casual shirt,Rs. 749,https://www.myntra.com/shirts/peppyzone/peppyzone-standard-windowpane-checks-cotton-casual-shirt/22525228/buy,3.1
136,HIGHLANDER,Slim Fit Casual shirt,Rs. 483,https://www.myntra.com/shirts/highlander/highlander-men-navy-blue-slim-fit-printed-casual-shirt/11889120/buy,4.3
137,Nautica,Solid Polo Collar Pure Cotton tshirt,Rs. 989,https://www.myntra.com/tshirts/nautica/nautica-men-navy-blue-solid-polo-collar-pure-cotton-t-shirt/11032160/buy,4.4
138,Levis,Men 512 Tapered Fit jeans,Rs. 1759,https://www.myntra.com/jeans/levis/levis-men-blue-512-tapered-fit-heavy-fade-stretchable-jeans/18074920/buy,4.2
139,U.S. Polo Assn.,Men Linen Casual shirt,Rs. 3499,https://www.myntra.com/shirts/us-polo-assn/us-polo-assn-men-beige-linen-tailored-fit-casual-shirt/19746236/buy,4
140,Roadster,Men Slim Fit Mandarin Casual shirt,Rs. 674,https://www.myntra.com/shirts/roadster/roadster-men-brown--black-slim-fit-checked-casual-sustainable-shirt/2164373/buy,4.4
141,Roadster,Colourblocked Round Neck Pure Cotton tshirt,Rs. 449,https://www.myntra.com/tshirts/roadster/roadster-men-white--mustard-yellow-colourblocked-round-neck-pure-cotton-t-shirt/12504566/buy,4.2
142,Louis Philippe Sport,Pure Cotton Slim Fit shirt,Rs. 1379,https://www.myntra.com/shirts/louis-philippe-sport/louis-philippe-sport-pure-cotton-slim-fit-printed-casual-shirt/21878442/buy,4.6
143,Louis Philippe,Men Printed Polo Collar tshirt,Rs. 1099,https://www.myntra.com/tshirts/louis-philippe/louis-philippe-men-olive-green--black-printed-polo-collar-t-shirt/19447252/buy,4.6
144,Roadster,Men Skinny Fit jeans,Rs. 449,https://www.myntra.com/jeans/roadster/roadster-men-blue-skinny-fit-mid-rise-clean-look-stretchable-jeans/8962325/buy,3.8
145,Dennis Lingo,Men Slim Fit Stretchable jeans,Rs. 799,https://www.myntra.com/jeans/dennis-lingo/dennis-lingo-men-mid-rise-comfort-slim-fit-stretchable-jeans/22855566/buy,3.7
146,Technosport,Printed Slim Fit tshirt,Rs. 345,https://www.myntra.com/tshirts/technosport/technosport-printed-antimicrobial-slim-fit-t-shirt/22562638/buy,4.8
147,Levis,Men Slim Fit Low-Rise jeans,Rs. 2999,https://www.myntra.com/jeans/levis/levis-men-511-slim-fit-low-rise-stretchable-jeans/21926900/buy,4.2
148,Roadster,Solid Polo Collar tshirt,Rs. 370,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-navy-blue-solid-polo-collar-t-shirt/10943272/buy,4.1
149,WROGN,Printed Polo Collar tshirt,Rs. 749,https://www.myntra.com/tshirts/wrogn/wrogn-men-black-printed-polo-collar-t-shirt/2478324/buy,4.4
150,Flying Machine,Men Slim Fit Heavy Fade jeans,Rs. 1319,https://www.myntra.com/jeans/flying-machine/flying-machine-men-slim-fit-heavy-fade-jeans/22566054/buy,4.1
151,Roadster,Cotton Casual shirt,Rs. 515,https://www.myntra.com/shirts/roadster/roadster-men-navy-blue-cotton-sustainable-casual-shirt/11903976/buy,4.2
152,WROGN,Men Slim Fit jeans,Rs. 1399,https://www.myntra.com/jeans/wrogn/wrogn-men-blue-slim-fit-mid-rise-clean-look-stretchable-jeans/8673565/buy,3.9
